run,scenario_id,condition,swap_pair,direction,source_stratum,paper_failure_mode,multi_label_grounded,domestic_violence_hidden_fact,domestic_violence_explicit_probe,opening_query,hidden_fact,expected_initial_label,expected_initial_label_canonical,expected_final_label,expected_final_label_canonical,initial_top_label,initial_labels,initial_top_category_is_expected,initial_top_is_expected,initial_category_correct,initial_subcategory_correct,initial_exact_scorable,provider_initial_category_flag,provider_initial_exact_flag,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_top_label,final_labels,final_top_category_is_expected,final_top_is_expected,final_category_correct,final_subcategory_correct,final_exact_scorable,provider_final_category_flag,provider_final_exact_flag,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,classification_changed,top_category_changed,provider_error,latency_ms,promptfoo_success
final_run_2_20260714T181957Z,legacy_124,intended,employee_vs_employer,AtoB,legacy_200_snapshot,,False,False,False,"I told someone we wouldn't be needing their help anymore, and now they're demanding payment for work they haven't done yet.",I run a catering business and hire chefs on a per-event contract basis.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,"Business & Corporate > General (Contracts, Business, Organization)","Business and Corporate > General (contracts, entities)",Consumer Law > General,"Consumer Law > General || Business and Corporate > General (contracts, entities)",False,False,False,,False,False,False,3,"Who hired this person or company? || Did you sign a written agreement that talks about deposits, cancellation, or non‑refundable fees? || Have they done any work or bought materials yet?",True,Who hired this person or company?,"Business and Corporate > General (contracts, entities)","Business and Corporate > General (contracts, entities) || Consumer Law > General",True,True,True,True,True,False,False,True,True,False,False,True,True,,15383,False
final_run_2_20260714T181957Z,x0584,intended,copyright_vs_patent,AtoB,expanded_workbook_grounded,,True,False,False,I need legal help protecting a project I have been developing. Can a lawyer help me?,I need a patent application for a new machine before publicly disclosing it.,Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright,Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Other,"Intellectual Property > Other || Business and Corporate > General (contracts, entities)",True,False,True,False,True,True,False,1,What kind of project is it? This helps match you to the right lawyer.,True,What kind of project is it? This helps match you to the right lawyer.,Intellectual Property > Trademark/Copyright,"Intellectual Property > Trademark/Copyright || Intellectual Property > Patent (Reg Patent Attys Only) || Business and Corporate > General (contracts, entities)",True,False,True,True,True,True,True,True,False,False,True,True,False,,21283,False
final_run_2_20260714T181957Z,legacy_091,intended,domestic_violence,BtoA,legacy_200_snapshot,domestic_violence,False,False,True,"Hi, I want to separate from my husband and need to know what my options are.",My husband has never hurt or threatened me.,Family Law > Restraining Orders,Family Law > Restraining Orders,Family Law > General (Divorce/Separation),Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),True,False,True,False,True,True,False,2,Do you and your husband have any minor children together? || Is there any abuse or safety concern where you might need a court order to stay away?,True,Is there any abuse or safety concern where you might need a court order to stay away?,Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),True,True,True,True,True,True,False,True,True,False,False,False,False,,18986,False
final_run_2_20260714T181957Z,legacy_025,intended,criminal_vs_restraining,AtoB,legacy_200_snapshot,criminal_vs_restraining,False,False,True,A person keeps pounding on my door late at night and shouting at me.,It's my child's father doing this and I want to keep him away from me.,Criminal Law > Misdemeanor,Criminal Law > Misdemeanor,Family Law > Restraining Orders,Family Law > Restraining Orders,General Litigation > Stalking Orders,General Litigation > Stalking Orders || General Litigation > Neighbor Disputes/Nuisance,False,False,False,False,True,False,False,2,Who is this person to you? || Have they threatened to harm you or tried to get inside?,True,Who is this person to you?,General Litigation > Stalking Orders,General Litigation > Stalking Orders || Family Law > Restraining Orders,False,False,True,True,True,True,True,False,False,True,True,False,False,,25376,False
final_run_2_20260714T181957Z,x0185,intended,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,employment_admin_ignores_hearing_signals,True,False,False,I was fired and need help because I have no income now. What are my options?,I need representation at a state unemployment-benefits hearing.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,Administrative Law > Unemployment,Administrative Law > Unemployment,Labor & Employment > Wrongful Discharge - Employee,Labor & Employment > Wrongful Discharge - Employee || Labor & Employment > General - Employee || Administrative Law > Unemployment,True,False,True,,False,True,False,3,"Do you think you were fired for an illegal reason (like discrimination, punishment for reporting a problem, or because you took protected leave), or was it a layoff/no reason given? || Have you already applied for state unemployment benefits? || Were you given anything in writing about the firing?",False,,,,False,False,False,False,True,,,True,True,False,False,False,False,,10853,False
final_run_2_20260714T181957Z,legacy_075,intended,debtor_vs_creditor,BtoA,legacy_200_snapshot,,False,False,False,"Someone bought my old phone, but now they won’t pay me.",They said the phone didn’t work as described and they’re not paying.,Debtor/Creditor > General (Creditor),Debtor/Creditor > General (Creditor),Consumer Law > General,Consumer Law > General,Consumer Law > Problems Between Consumers,Consumer Law > Problems Between Consumers || Consumer Law > Small Claims Advice,False,False,False,False,True,False,False,3,"Was this a private sale between two people, or did you sell to a business/store? || Did you already hand over or ship the phone to them? || Do you have written proof of the deal (texts, messages, bill of sale) showing the price and that they agreed to pay?",False,,,,False,False,False,False,True,,,True,False,False,False,False,False,,9077,False
final_run_2_20260714T181957Z,x0722,intended,veterans_benefits_vs_va_loan,AtoB,expanded_workbook_grounded,,True,False,False,A VA-related decision is affecting my finances and I need help. What are my options?,The dispute concerns the terms and servicing of my VA-backed construction loan.,Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,"Real Property > Government Loans (VA,FHA,Etc.)","Real Property > Government Loans (VA, FHA, etc.)",Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,True,True,True,True,True,True,True,1,What kind of VA decision is hurting your finances?,True,What kind of VA decision is hurting your finances?,Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,False,False,False,False,True,False,False,False,False,False,False,False,False,,16958,False
final_run_2_20260714T181957Z,legacy_123,intended,employee_vs_employer,AtoB,legacy_200_snapshot,,False,False,False,Someone I worked with is threatening to sue me for firing them unfairly. I'm not sure what to do.,I'm the owner of a small delivery service and the person in question was brought on for specific gigs.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,"Business & Corporate > General (Contracts, Business, Organization)","Business and Corporate > General (contracts, entities)",Labor & Employment > Wrongful Discharge - Employer,Labor & Employment > Wrongful Discharge - Employer || Labor & Employment > General - Employer,True,False,True,,False,True,False,3,"What are they saying was the reason the firing was illegal? || Were they an employee on your payroll, or an independent contractor (you gave them a 1099)? || Did they have a written employment contract or union agreement?",True,"Were they an employee on your payroll, or an independent contractor (you gave them a 1099)?",Labor & Employment > Wrongful Discharge - Employer,Labor & Employment > Wrongful Discharge - Employer || Labor & Employment > General - Employer,False,False,False,False,True,False,False,False,False,False,False,False,False,,20262,False
final_run_2_20260714T181957Z,x0110,intended,stalking_vs_restraining,BtoA,expanded_workbook_grounded,criminal_vs_restraining_wrong_stalking_default,True,False,True,A person close to me keeps contacting and threatening me. What are my options?,The person is a neighbor I have never dated and is not related to me.,Family Law > Restraining Orders,Family Law > Restraining Orders,General Litigation > Stalking Orders,General Litigation > Stalking Orders,Family Law > Restraining Orders,Family Law > Restraining Orders || General Litigation > Stalking Orders || General Litigation > Online Harrassment/Doxing/Bullying,True,True,True,True,True,True,True,2,Who is this person to you? || How are they contacting or threatening you? (choose all that apply),True,Who is this person to you?,General Litigation > Stalking Orders,General Litigation > Stalking Orders || Family Law > Domestic Violence,True,True,True,True,True,True,True,True,True,False,False,True,True,,27198,False
final_run_2_20260714T181957Z,x0563,intended,ssd_vs_ssi,BtoA,expanded_workbook_grounded,,True,False,False,I need an attorney for an appeal involving disability assistance. What are my options?,I applied for SSDI based on my work history and payroll contributions.,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI,Administrative Law > SSD (Social Security Disability),Administrative Law > SSD (Social Security Disability),Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD,True,True,True,True,True,True,True,1,What kind of disability appeal is this?,True,What kind of disability appeal is this?,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD,True,False,True,,False,True,False,True,,False,,False,False,,23923,False
final_run_2_20260714T181957Z,x0495,intended,paternity_vs_custody,AtoB,expanded_workbook_grounded,,True,False,False,There is a dispute about my role as a parent and what I can do. Can a lawyer help me?,Legal parentage is settled and I need to modify custody.,Family Law > Paternity,Family Law > Paternity,Family Law > Child Custody/Visitation,Family Law > Child Custody/Visitation,Family Law > Child Custody/Visitation,Family Law > Child Custody/Visitation || Family Law > Parental Responsibility,True,False,True,False,True,True,False,3,What is the main issue right now? || Do you already have a court order about custody/visits/decision-making? || Which state is this in? (This affects the rules and next steps.),True,What is the main issue right now?,Family Law > Child Custody/Visitation,Family Law > Child Custody/Visitation || Family Law > Parental Responsibility,True,True,True,True,True,True,True,True,True,False,False,False,False,,15821,False
final_run_2_20260714T181957Z,x0772,intended,medicaid_vs_guardianship,BtoA,expanded_workbook_grounded,,True,False,False,Our family cannot act for an incapacitated parent and care decisions are overdue. Can a lawyer help me?,A government health program denied continued coverage for the care facility.,Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Conservatorship/Guardianship,Administrative Law > Medicare/Medicaid,Administrative Law > Medicare/Medicaid,Wills & Trusts > Conservatorship/Guardianship,Wills & Trusts > Conservatorship/Guardianship || Wills & Trusts > Power of Attorney,True,True,True,True,True,True,True,3,"Does your parent already have any of these papers in place? || Are you trying to get a court order so someone can make decisions (guardianship/conservatorship), or set up/confirm a power of attorney? || Is there any disagreement in the family about who should make decisions?",False,,,,False,False,False,False,True,,,False,False,False,False,False,False,,11135,False
