run,scenario_id,condition,swap_pair,direction,source_stratum,paper_failure_mode,multi_label_grounded,domestic_violence_hidden_fact,domestic_violence_explicit_probe,opening_query,hidden_fact,expected_initial_label,expected_initial_label_canonical,expected_final_label,expected_final_label_canonical,initial_top_label,initial_labels,initial_top_category_is_expected,initial_top_is_expected,initial_category_correct,initial_subcategory_correct,initial_exact_scorable,provider_initial_category_flag,provider_initial_exact_flag,follow_up_question_count,follow_up_questions,question_matched,matched_question,final_top_label,final_labels,final_top_category_is_expected,final_top_is_expected,final_category_correct,final_subcategory_correct,final_exact_scorable,provider_final_category_flag,provider_final_exact_flag,expected_final_category_present_initially,expected_final_exact_present_initially,expected_final_category_added,expected_final_exact_added,classification_changed,top_category_changed,provider_error,latency_ms,promptfoo_success
final_run_3_20260714T193500Z,legacy_124,intended,employee_vs_employer,AtoB,legacy_200_snapshot,,False,False,False,"I told someone we wouldn't be needing their help anymore, and now they're demanding payment for work they haven't done yet.",I run a catering business and hire chefs on a per-event contract basis.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,"Business & Corporate > General (Contracts, Business, Organization)","Business and Corporate > General (contracts, entities)",Consumer Law > General,"Consumer Law > General || Business and Corporate > General (contracts, entities)",False,False,False,,False,False,False,3,"Was this agreement for your personal/home use, or for your business? || Do you have a written contract that mentions cancellation or early termination fees? || Did they already do any work or buy materials for your project?",True,"Was this agreement for your personal/home use, or for your business?",Consumer Law > General,"Consumer Law > General || Business and Corporate > General (contracts, entities)",False,False,True,True,True,False,False,True,True,False,False,False,False,,19480,False
final_run_3_20260714T193500Z,x0584,intended,copyright_vs_patent,AtoB,expanded_workbook_grounded,,True,False,True,I need legal help protecting a project I have been developing. Can a lawyer help me?,I need a patent application for a new machine before publicly disclosing it.,Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright,Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Patent (Reg Patent Attys Only),Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright || Intellectual Property > Patent (Reg Patent Attys Only),True,True,True,True,True,True,True,1,What best describes the kind of protection you need for your project?,True,What best describes the kind of protection you need for your project?,Intellectual Property > Trademark/Copyright,Intellectual Property > Trademark/Copyright || Intellectual Property > Patent (Reg Patent Attys Only) || Intellectual Property > Computer Law & Internet Law,True,False,True,True,True,True,True,True,True,False,False,False,False,,20743,False
final_run_3_20260714T193500Z,legacy_091,intended,domestic_violence,BtoA,legacy_200_snapshot,domestic_violence,False,False,True,"Hi, I want to separate from my husband and need to know what my options are.",My husband has never hurt or threatened me.,Family Law > Restraining Orders,Family Law > Restraining Orders,Family Law > General (Divorce/Separation),Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),True,False,True,False,True,True,False,3,"Are you looking to end the marriage now, or to do a legal separation (stay married but live apart)? || Do you and your spouse have any children under 18? || Do you have any urgent safety concerns, like abuse, and need a court order to stay away?",True,"Do you have any urgent safety concerns, like abuse, and need a court order to stay away?",Family Law > General (Divorce/Separation etc.),Family Law > General (Divorce/Separation etc.),True,True,True,True,True,True,False,True,True,False,False,False,False,,15897,False
final_run_3_20260714T193500Z,legacy_025,intended,criminal_vs_restraining,AtoB,legacy_200_snapshot,criminal_vs_restraining,False,False,False,A person keeps pounding on my door late at night and shouting at me.,It's my child's father doing this and I want to keep him away from me.,Criminal Law > Misdemeanor,Criminal Law > Misdemeanor,Family Law > Restraining Orders,Family Law > Restraining Orders,General Litigation > Stalking Orders,General Litigation > Stalking Orders,False,False,False,False,True,False,False,1,Who is the person doing this?,True,Who is the person doing this?,General Litigation > Stalking Orders,General Litigation > Stalking Orders || Family Law > Restraining Orders,False,False,True,True,True,True,True,False,False,True,True,False,False,,22329,False
final_run_3_20260714T193500Z,x0185,intended,wrongful_discharge_vs_unemployment,AtoB,expanded_workbook_grounded,employment_admin_ignores_hearing_signals,True,False,False,I was fired and need help because I have no income now. What are my options?,I need representation at a state unemployment-benefits hearing.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,Administrative Law > Unemployment,Administrative Law > Unemployment,Labor & Employment > Wrongful Discharge - Employee,Labor & Employment > Wrongful Discharge - Employee || Administrative Law > Unemployment || Labor & Employment > General - Employee,True,False,True,,False,True,False,1,What do you need help with most right now?,True,What do you need help with most right now?,Labor & Employment > Wrongful Discharge - Employee,Labor & Employment > Wrongful Discharge - Employee || Administrative Law > Unemployment,False,False,True,True,True,True,True,True,True,False,False,False,False,,18431,False
final_run_3_20260714T193500Z,legacy_075,intended,debtor_vs_creditor,BtoA,legacy_200_snapshot,,False,False,False,"Someone bought my old phone, but now they won’t pay me.",They said the phone didn’t work as described and they’re not paying.,Debtor/Creditor > General (Creditor),Debtor/Creditor > General (Creditor),Consumer Law > General,Consumer Law > General,Consumer Law > Problems Between Consumers,Consumer Law > Problems Between Consumers || Consumer Law > Small Claims Advice,False,False,False,False,True,False,False,3,Who did you sell the phone to? || Did the buyer already get the phone from you? || How were they supposed to pay you?,True,How were they supposed to pay you?,Consumer Law > Problems Between Consumers,Consumer Law > Problems Between Consumers || Consumer Law > Small Claims Advice,True,False,True,False,True,True,False,True,False,False,False,False,False,,18443,False
final_run_3_20260714T193500Z,x0722,intended,veterans_benefits_vs_va_loan,AtoB,expanded_workbook_grounded,,True,False,False,A VA-related decision is affecting my finances and I need help. What are my options?,The dispute concerns the terms and servicing of my VA-backed construction loan.,Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,"Real Property > Government Loans (VA,FHA,Etc.)","Real Property > Government Loans (VA, FHA, etc.)",Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,True,True,True,True,True,True,True,2,"What kind of VA decision is causing the money problem? || Are you the veteran, or a surviving spouse/dependent?",True,What kind of VA decision is causing the money problem?,Administrative Law > Military/Veterans,Administrative Law > Military/Veterans,False,False,False,False,True,False,False,False,False,False,False,False,False,,16620,False
final_run_3_20260714T193500Z,legacy_123,intended,employee_vs_employer,AtoB,legacy_200_snapshot,,False,False,False,Someone I worked with is threatening to sue me for firing them unfairly. I'm not sure what to do.,I'm the owner of a small delivery service and the person in question was brought on for specific gigs.,Labor & Employment > Wrongful Discharge,Labor & Employment > Wrongful Discharge,"Business & Corporate > General (Contracts, Business, Organization)","Business and Corporate > General (contracts, entities)",Labor & Employment > Wrongful Discharge - Employer,Labor & Employment > Wrongful Discharge - Employer || Labor & Employment > General - Employer,True,False,True,,False,True,False,3,Was this person an employee on payroll or an independent contractor? || What reason are they claiming for the 'unfair firing'? || About how many workers does your business have?,True,Was this person an employee on payroll or an independent contractor?,Labor & Employment > Wrongful Discharge - Employer,Labor & Employment > Wrongful Discharge - Employer,False,False,False,False,True,False,False,False,False,False,False,False,False,,18742,False
final_run_3_20260714T193500Z,x0110,intended,stalking_vs_restraining,BtoA,expanded_workbook_grounded,criminal_vs_restraining_wrong_stalking_default,True,False,True,A person close to me keeps contacting and threatening me. What are my options?,The person is a neighbor I have never dated and is not related to me.,Family Law > Restraining Orders,Family Law > Restraining Orders,General Litigation > Stalking Orders,General Litigation > Stalking Orders,Family Law > Restraining Orders,Family Law > Restraining Orders || General Litigation > Stalking Orders,True,True,True,True,True,True,True,2,What is your relationship to the person? || How are they contacting and threatening you?,True,What is your relationship to the person?,Family Law > Restraining Orders,Family Law > Restraining Orders || General Litigation > Stalking Orders,False,False,True,True,True,True,True,True,True,False,False,False,False,,16763,False
final_run_3_20260714T193500Z,x0563,intended,ssd_vs_ssi,BtoA,expanded_workbook_grounded,,True,False,False,I need an attorney for an appeal involving disability assistance. What are my options?,I applied for SSDI based on my work history and payroll contributions.,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI,Administrative Law > SSD (Social Security Disability),Administrative Law > SSD (Social Security Disability),Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD,True,True,True,True,True,True,True,1,What kind of disability benefits is your appeal about?,True,What kind of disability benefits is your appeal about?,Administrative Law > Social Security/SSI,Administrative Law > Social Security/SSI || Administrative Law > SSD,True,False,True,,False,True,False,True,,False,,False,False,,16109,False
