paper_failure_mode,cases,usable,initial_category_accuracy_pct,initial_expected_category_is_top_pct,initial_exact_scorable,initial_expected_exact_is_top_pct,question_coverage_pct,final_category_accuracy_when_matched_pct,expected_final_category_added_when_matched_pct,final_expected_category_is_top_when_matched_pct,final_exact_scorable_matched,final_exact_accuracy_when_matched_pct,expected_final_exact_added_when_matched_pct,final_expected_exact_is_top_when_matched_pct
,512,512,94.53,82.03,457,58.64,78.91,91.83,1.98,82.67,350,68.86,8.0,39.14
bankruptcy_collections_role_confusion,88,88,93.18,68.18,88,40.91,45.45,52.5,0.0,32.5,40,15.0,0.0,5.0
bankruptcy_vs_collections,20,20,50.0,50.0,20,50.0,45.0,100.0,11.11,88.89,9,33.33,11.11,11.11
criminal_vs_restraining,20,20,25.0,0.0,20,0.0,75.0,40.0,6.67,6.67,15,26.67,0.0,0.0
criminal_vs_restraining_wrong_stalking_default,60,60,95.0,68.33,60,66.67,78.33,82.98,12.77,27.66,47,70.21,10.64,25.53
domestic_violence,20,20,100.0,100.0,20,45.0,40.0,100.0,0.0,100.0,8,62.5,0.0,62.5
domestic_violence_low_question_coverage,90,90,100.0,100.0,90,72.22,72.22,100.0,0.0,100.0,65,20.0,4.62,6.15
employment_admin,20,20,50.0,50.0,10,0.0,15.0,33.33,0.0,33.33,2,0.0,0.0,0.0
employment_admin_ignores_hearing_signals,90,90,78.89,65.56,45,31.11,53.33,77.08,2.08,47.92,19,42.11,5.26,0.0
injury_location,20,20,95.0,90.0,20,80.0,60.0,41.67,33.33,0.0,12,41.67,33.33,0.0
injury_location_does_not_flip_off_clock,60,60,96.67,88.33,60,63.33,90.0,72.22,0.0,64.81,54,61.11,3.7,37.04
