swap_pair,cases,usable,initial_category_accuracy_pct,initial_expected_category_is_top_pct,initial_exact_scorable,initial_expected_exact_is_top_pct,question_coverage_pct,final_category_accuracy_when_matched_pct,expected_final_category_added_when_matched_pct,final_expected_category_is_top_when_matched_pct,final_exact_scorable_matched,final_exact_accuracy_when_matched_pct,expected_final_exact_added_when_matched_pct,final_expected_exact_is_top_when_matched_pct
bankruptcy_vs_collections,20,20,50.0,50.0,20,50.0,45.0,100.0,11.11,88.89,9,33.33,11.11,11.11
bankruptcy_vs_creditor,30,30,96.67,70.0,30,56.67,16.67,40.0,0.0,20.0,5,0.0,0.0,0.0
business_bankruptcy_vs_dissolution,28,28,85.71,67.86,28,25.0,57.14,75.0,0.0,50.0,16,0.0,0.0,0.0
contractor_vs_small_claims,30,30,93.33,46.67,30,46.67,50.0,86.67,13.33,60.0,15,60.0,6.67,53.33
copyright_vs_patent,30,30,100.0,100.0,30,56.67,100.0,100.0,0.0,100.0,30,76.67,3.33,43.33
criminal_case_vs_protection,30,30,90.0,60.0,30,56.67,56.67,70.59,23.53,5.88,17,35.29,17.65,0.0
criminal_vs_restraining,20,20,25.0,0.0,20,0.0,75.0,40.0,6.67,6.67,15,26.67,0.0,0.0
custody_vs_restraining,30,30,100.0,100.0,30,76.67,73.33,100.0,0.0,100.0,22,36.36,0.0,18.18
custody_vs_support,50,50,100.0,100.0,50,50.0,90.0,100.0,0.0,100.0,45,75.56,8.89,48.89
debtor_vs_creditor,20,20,80.0,45.0,20,40.0,50.0,70.0,10.0,40.0,10,60.0,10.0,20.0
defamation_vs_online_harassment,28,28,100.0,100.0,28,85.71,85.71,100.0,0.0,100.0,24,91.67,8.33,25.0
divorce_vs_restraining,30,30,100.0,100.0,30,90.0,86.67,100.0,0.0,100.0,26,11.54,7.69,0.0
domestic_violence,20,20,100.0,100.0,20,45.0,40.0,100.0,0.0,100.0,8,62.5,0.0,62.5
dui_vs_dmv,50,50,98.0,52.0,50,42.0,98.0,83.67,2.04,42.86,49,46.94,0.0,40.82
employee_vs_employer,20,20,60.0,40.0,10,10.0,95.0,68.42,5.26,47.37,9,33.33,11.11,11.11
employment_admin,20,20,50.0,50.0,10,0.0,15.0,33.33,0.0,33.33,2,0.0,0.0,0.0
employment_vs_state_hearing,30,30,50.0,50.0,15,0.0,60.0,61.11,0.0,61.11,7,0.0,0.0,0.0
guardianship_vs_elder_abuse,30,30,100.0,100.0,30,86.67,63.33,100.0,0.0,100.0,19,84.21,5.26,21.05
injury_location,20,20,95.0,90.0,20,80.0,60.0,41.67,33.33,0.0,12,41.67,33.33,0.0
judgment_vs_bankruptcy,30,30,96.67,66.67,30,40.0,63.33,36.84,0.0,21.05,19,31.58,0.0,10.53
license_vs_employment_discrimination,30,30,100.0,70.0,15,40.0,60.0,77.78,0.0,27.78,8,50.0,0.0,0.0
malpractice_vs_wrongful_death,30,30,100.0,100.0,30,50.0,96.67,100.0,0.0,100.0,29,68.97,13.79,48.28
medicaid_vs_guardianship,28,28,82.14,53.57,28,53.57,64.29,72.22,0.0,66.67,18,55.56,22.22,11.11
mold_vs_tenant,28,28,71.43,60.71,28,50.0,25.0,85.71,0.0,85.71,7,85.71,0.0,85.71
paternity_vs_custody,30,30,100.0,100.0,30,63.33,66.67,100.0,0.0,100.0,20,45.0,5.0,20.0
separation_vs_financial_abuse,30,30,100.0,100.0,30,50.0,56.67,100.0,0.0,100.0,17,11.76,5.88,0.0
ssd_vs_ssi,30,30,100.0,96.67,15,100.0,96.67,100.0,0.0,100.0,14,100.0,7.14,92.86
stalking_vs_restraining,30,30,100.0,76.67,30,76.67,100.0,90.0,6.67,40.0,30,90.0,6.67,40.0
tenant_vs_landlord,50,50,100.0,98.0,50,58.0,92.0,100.0,0.0,97.83,46,84.78,8.7,41.3
veterans_benefits_vs_va_loan,28,28,100.0,89.29,28,89.29,53.57,46.67,20.0,20.0,15,46.67,20.0,20.0
wages_vs_wrongful_discharge,30,30,100.0,100.0,0,,96.67,100.0,0.0,100.0,0,,,
work_injury_vs_personal_injury,30,30,93.33,76.67,30,63.33,86.67,42.31,0.0,26.92,26,38.46,0.0,26.92
workers_comp_vs_third_party,30,30,100.0,100.0,30,63.33,93.33,100.0,0.0,100.0,28,82.14,7.14,46.43
wrongful_discharge_vs_unemployment,30,30,86.67,76.67,15,53.33,40.0,100.0,8.33,58.33,4,100.0,25.0,0.0
